id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
5135737,"Kingston Riverside, LONDON",26551969,Tulip,,Kingston upon Thames,51.41508020808006,-0.30756901761437766,Entire home/apt,155,14,0,,,1,92
1406006,"Private room, Kingston-upon-Thames",2271813,Ryan,,Kingston upon Thames,51.40839427255444,-0.2966167226258389,Private room,43,1,26,2015-08-25,1.05,1,322
5910748,The Beach House in the Suburbs,30698497,Mike,,Kingston upon Thames,51.38872165633105,-0.26679920396128165,Private room,45,2,7,2015-08-04,1.47,1,323
3697446,Contemporary 2 bed 2 bath apartment,18751651,Kevin,,Kingston upon Thames,51.41328449167899,-0.3040110736453501,Entire home/apt,90,3,24,2015-08-21,2.18,1,225
7961583,Quiet road near Surbiton station,19960435,Ben,,Kingston upon Thames,51.39907394723907,-0.29591505371657995,Private room,40,1,0,,,1,350
487783,Cosy Twin Bed Room - Prime location,2413601,Claire &  Alan,,Kingston upon Thames,51.418481414362,-0.3035635190653981,Private room,38,2,46,2015-08-16,1.23,1,358
661917,Large Double Room - Edwardian house,2413601,,,Kingston upon Thames,51.41742646096668,-0.30364967690658046,Private room,43,2,16,2015-08-13,0.45,1,345
5800803,Quaint terrace house Richmond Park ,13845085,Nadine,,Kingston upon Thames,51.43669600093888,-0.25504277847893614,Private room,65,1,0,,,1,57
8081184,Private 2 bed Flat in Surbiton,27649765,James,,Kingston upon Thames,51.39280806405217,-0.30663552880051803,Entire home/apt,59,3,0,,,1,15
5519424,2 Bedroom Mews House - Greater LDN,3015255,Kyle,,Kingston upon Thames,51.412329070306996,-0.29610121051269217,Entire home/apt,80,1,9,2015-08-18,1.55,1,208
3429536,"""Boutique Croydon Apart-Hotel-CRH4",5319733,,,Croydon,51.37326531596794,-0.09959383369163136,Entire home/apt,100,1,0,,,5,336
872512,Crystal Room,2659876,Michele,,Croydon,51.4193883362327,-0.0839414990561416,Private room,35,2,16,2015-08-18,0.63,2,361
364017,Massive 6BR 25min London sleeps 17,2349744,,,Croydon,51.37295511453206,-0.119663174087416,Entire home/apt,169,3,17,2015-07-12,0.49,1,349
5555236,Period Two Bed House in London!,2603152,,,Croydon,51.37444146626885,-0.10410539074465464,Entire home/apt,70,1,12,2015-08-15,2.57,8,303
4095433,Flexistay Standard 1 Bed Apartment,8150858,,,Croydon,51.36927486804648,-0.09580504690483821,Entire home/apt,65,7,2,2015-07-18,0.56,4,365
3380345,"""Boutique Croydon Apart-Hotel-CRH3",5319733,,,Croydon,51.371360088713466,-0.09939896366522412,Entire home/apt,115,1,0,,,5,332
